Title,URL,Source,Summary,Original_Length,Summary_Length,Timestamp
স্বাস্থ্য খাতে আলোচিত ঠিকাদার মিঠু পাঁচ দিন রিমান্ডে,https://www.prothomalo.com/bangladesh/nyv4t76ydg,Prothom Alo,স্বাস্থ্য খাতে দুর্নীতির ঘটনায় আলোচিত ঠিকাদার মোতাজ্জেরুল ইসলাম ওরফে মিঠুকে পাঁচ দিন রিমান্ডে নিয়ে জিজ্ঞাসাবাদ করার অনুমতি দিয়েছেন আদালত। দুর্নীতি দমন কমিশনের (দুদক) একটি মামলায় সংস্থাটির আবেদনের পরিপ্রেক্ষিতে ঢাকা মহানগরের জ্যেষ্ঠ বিশেষ জজ সাব্বির ফয়েজ আজ বৃহস্পতিবার এ আদেশ দেন।,1675,280,9/18/2025 15:41
ট্রাম্প লন্ডন ছাড়লেই ফিলিস্তিনকে স্বীকৃতি দেবে যুক্তরাজ্য,https://bangla.thedailystar.net/international/news-700181,Daily Star,"যুক্তরাজ্যে দুই দিনের রাষ্ট্রীয় সফরে আছেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প। সংবাদ প্রতিবেদনে বলা হয়, ট্রাম্প যতক্ষণ যুক্তরাজ্যে আছেন ততক্ষণ প্রধানমন্ত্রী কিয়ার স্টারমার ফিলিস্তিনকে স্বাধীন রাষ্ট্র হিসেবে আনুষ্ঠানিক স্বীকৃতি দিচ্ছেন না।",1549,238,9/18/2025 15:41
